iter	Passed	Remaining
0	1	116
1	2	104
2	3	98
3	3	88
4	4	88
5	5	90
6	6	88
7	7	87
8	8	85
9	9	83
10	10	82
11	11	80
12	11	79
13	12	78
14	13	77
15	14	76
16	15	74
17	16	73
18	17	72
19	17	71
20	18	70
21	19	69
22	20	68
23	21	67
24	22	66
25	23	65
26	23	64
27	24	63
28	25	62
29	26	61
30	27	60
31	28	60
32	29	59
33	30	58
34	30	57
35	31	56
36	32	55
37	33	54
38	34	53
39	35	52
40	36	51
41	36	50
42	37	49
43	38	48
44	38	47
45	39	46
46	40	45
47	41	44
48	42	43
49	42	42
50	43	41
51	44	40
52	45	39
53	45	39
54	46	37
55	47	37
56	47	36
57	48	35
58	49	34
59	50	33
60	51	32
61	51	31
62	52	30
63	53	29
64	53	28
65	54	28
66	55	27
67	55	26
68	56	25
69	57	24
70	57	23
71	58	22
72	59	21
73	60	21
74	60	20
75	61	19
76	62	18
77	62	17
78	63	16
79	64	16
80	64	15
81	65	14
82	66	13
83	66	12
84	67	11
85	68	11
86	68	10
87	69	9
88	70	8
89	70	7
90	71	7
91	71	6
92	72	5
93	72	4
94	73	3
95	74	3
96	74	2
97	75	1
98	75	0
99	76	0
